category	file	xml	work_title	movement_title	creators	rights	source	software	encoding_date	parse_error	reason	raw_url
unknown-rights	Clair_de_lune_-_Claude_Debussy.mxl	score.xml	Claire de lune		composer:Claude Debussy			MuseScore 2.3.2	2021-03-02		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Clair_de_lune_-_Claude_Debussy.mxl
excluded-not-saved	DANSE_VILLAGEOISE_Beethoven.mxl	score.xml				©		MuseScore 3.6.2	2021-10-27		rights field contains ©	https://raw.githubusercontent.com/musetrainer/library/master/scores/DANSE_VILLAGEOISE_Beethoven.mxl
unknown-rights	Dance_of_the_sugar_plum_fairy.mxl	lg-107076265.xml	Dance Of the Sugar Plum Fairy		composer:Tchaikovsky		http://musescore.com/score/2899321	MuseScore 2.0.3	2016-11-11		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Dance_of_the_sugar_plum_fairy.mxl
unknown-rights	Erik_Satie_-_Gymnopedie_No.1.mxl	lg-2335689.xml					http://musescore.com/score/980686	MuseScore 1.3	2015-06-27		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Erik_Satie_-_Gymnopedie_No.1.mxl
unknown-rights	Flight_of_the_Bumblebee.mxl	score.xml						MuseScore 2.3.2	2019-02-28		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Flight_of_the_Bumblebee.mxl
unknown-rights	Fur_Elise.mxl	score.xml	Für Elise in A Minor		composer:Ludwig van Beethoven(1770–1827)		https://musescore.com/user/19710/scores/33816	MuseScore 3.6.0	2021-01-25		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Fur_Elise.mxl
unknown-rights	Fur_Elise_-_Beethoven_-_for_beginner_piano.mxl	score.xml					https://musescore.com/classicman/scores/33816	MuseScore 3.6.1	2021-02-23		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Fur_Elise_-_Beethoven_-_for_beginner_piano.mxl
unknown-rights	Fur_Elise_Easy_Piano.mxl	score.xml	Fur Elise					MuseScore 3.0.1	2019-01-30		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Fur_Elise_Easy_Piano.mxl
excluded-not-saved	Fur_Elise_fingered.mxl	score.xml	Für Elise		composer:arr. Verona	pianolessenassen.nl/bladmuziek	https://musescore.com/user/2423821/scores/6647035	MuseScore 3.6.1	2021-03-06		arranger and rights/source site listed without public-domain license	https://raw.githubusercontent.com/musetrainer/library/master/scores/Fur_Elise_fingered.mxl
excluded-not-saved	G_Minor_Bach.mxl	score.xml	G minor		composer:J.S. Bach	jvs	https://musescore.com/user/10919536/scores/5518576	MuseScore 3.6.0	2021-01-19		rights field contains a name, not a public-domain/commercial license	https://raw.githubusercontent.com/musetrainer/library/master/scores/G_Minor_Bach.mxl
unknown-rights	G_Minor_Bach_Original.mxl	score.xml	G Minor Bach		composer:Lyo Ni		http://musescore.com/user/18666761/scores/3805681	MuseScore 2.3.2	2018-12-31		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/G_Minor_Bach_Original.mxl
unknown-rights	Gnossienne_No._1.mxl	lg-123155158.xml	Gnossienne No. 1		composer:Erik Satie(1866 – 1925) | lyricist:Éric Alfred Leslie Satie		http://musescore.com/classicman/scores/4131536	MuseScore 2.2.0	2018-03-30		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Gnossienne_No._1.mxl
unknown-rights	Greensleeves_for_Piano_easy_and_beautiful.mxl	score.xml	Greensleeves		composer:Unknown			MuseScore 3.5.0	2020-09-29		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Greensleeves_for_Piano_easy_and_beautiful.mxl
unknown-rights	Gymnopdie_No._1__Satie.mxl	score.xml	Gymnopédie No. 1		composer:Erik Satie(1866 – 1925) | lyricist:Éric Alfred Leslie Satie		https://musescore.com/user/19710/scores/4766391	MuseScore 3.6.2	2021-06-04		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Gymnopdie_No._1__Satie.mxl
unknown-rights	Happy_Birthday_To_You_C_Major.mxl	lg-307757872161298588.xml					http://musescore.com/score/166951	MuseScore 1.3	2014-02-28		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Happy_Birthday_To_You_C_Major.mxl
unknown-rights	Happy_Birthday_To_You_Piano.mxl	lg-210436081.xml	Happy Birthday To You		composer:Arranged by Manjuprasad		http://musescore.com/user/27657013/scores/5282628	MuseScore 2.3.2	2018-10-24		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Happy_Birthday_To_You_Piano.mxl
unknown-rights	Hungarian_Dance_No_5_in_G_Minor.mxl	lg-37043233.xml	Hungarian Dance No. 5 in G Minor		composer:Johannes Brahms		http://musescore.com/user/191208/scores/4776321	MuseScore 2.1.0	2017-10-25		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Hungarian_Dance_No_5_in_G_Minor.mxl
excluded-not-saved	Hungarian_Sonata.mxl	lg-44897949.xml	Hungarian Sonata		composer:Richard Clayderman		http://musescore.com/user/23840281/scores/4620391	MuseScore 2.2.1	2018-05-23		metadata identifies Richard Clayderman; modern copyrighted work risk	https://raw.githubusercontent.com/musetrainer/library/master/scores/Hungarian_Sonata.mxl
unknown-rights	J._S._Bach_-_Air_on_the_G_String_Piano_arrangement.mxl	lg-186442806.xml	Air		composer:J. S. Bach		http://musescore.com/user/18625336/scores/3722131	MuseScore 2.0.3	2017-04-11		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/J._S._Bach_-_Air_on_the_G_String_Piano_arrangement.mxl
unknown-rights	La_Campanella_-_Grandes_Etudes_de_Paganini_No._3_-_Franz_Liszt.mxl	score.xml	La Campanella		composer:Franz Liszt		http://musescore.com/user/15293341/scores/4426976	MuseScore 3.6.2	2021-11-20		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/La_Campanella_-_Grandes_Etudes_de_Paganini_No._3_-_Franz_Liszt.mxl
unknown-rights	Lacrimosa_-_Requiem.mxl	lg-40817802.xml					http://api.musescore.com/score/2275496	MuseScore 2.0.3	2016-06-13		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Lacrimosa_-_Requiem.mxl
unknown-rights	Liebestraum_No._3_in_A_Major.mxl	score.xml	Liebestraum No. 3 in A♭ Major		composer:Franz Liszt(1811 - 1886)		https://musescore.com/score/65159	MuseScore 3.6.2	2021-06-29		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Liebestraum_No._3_in_A_Major.mxl
unknown-rights	Maple_Leaf_Rag_Scott_Joplin.mxl	lg-209522180.xml					http://musescore.com/user/116681/scores/145724	MuseScore 2.1.0	2017-05-21		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Maple_Leaf_Rag_Scott_Joplin.mxl
excluded-not-saved	Mariage_dAmour.mxl	lg-131500156.xml	Mariage d'Amoure		composer:Paul de Senneville		http://musescore.com/user/97638/scores/3387831	MuseScore 2.0.3	2017-02-10		metadata identifies Paul de Senneville; modern copyrighted work risk	https://raw.githubusercontent.com/musetrainer/library/master/scores/Mariage_dAmour.mxl
unknown-rights	Minuet_in_G_Major_Bach.mxl	score.xml					https://musescore.com/classicman/scores/62312	MuseScore 3.4.2	2020-04-21		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Minuet_in_G_Major_Bach.mxl
unknown-rights	Mozart_-_Piano_Sonata_No._16_-_Allegro.mxl	lg-356839297450385119.xml						MuseScore 0.9.6.2	2010-08-19		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Mozart_-_Piano_Sonata_No._16_-_Allegro.mxl
unknown-rights	Nocturne_No._20_in_C_Minor.mxl	lg-394407640825577455.xml						MuseScore 1.2	2012-12-08		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Nocturne_No._20_in_C_Minor.mxl
unknown-rights	Nocturne_in_C_sharp_Minor.mxl	score.xml	Nocturne in C sharp Minor		composer:Chopin		http://musescore.com/user/16938116/scores/3896061	MuseScore 3.6.1	2021-03-30		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Nocturne_in_C_sharp_Minor.mxl
unknown-rights	Nocturne_in_E-flat_Major_Op._9_No._2_Easy.mxl	lg-93460170.xml	Nocturne		arranger:Murilo Pedroza | composer:Frédéric Chopin		http://musescore.com/user/11105406/scores/3044996	MuseScore 2.0.3	2017-02-03		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Nocturne_in_E-flat_Major_Op._9_No._2_Easy.mxl
unknown-rights	Ode_to_Joy_Easy_variation.mxl	score.xml						MuseScore 2.3.2	2020-12-22		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Ode_to_Joy_Easy_variation.mxl
unknown-rights	Passacaglia.mxl	score.xml					https://musescore.com/user/31423751/scores/6121641	MuseScore 3.4.2	2020-05-01		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Passacaglia.mxl
unknown-rights	Passacaglia2.mxl	score.xml						MuseScore 3.3.4	2019-12-14		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Passacaglia2.mxl
unknown-rights	Piano_Sonata_No._11_K._331_3rd_Movement_Rondo_alla_Turca.mxl	lg-8683180.xml					http://musescore.com/classicman/scores/49143	MuseScore 2.2.1	2018-05-10		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Piano_Sonata_No._11_K._331_3rd_Movement_Rondo_alla_Turca.mxl
unknown-rights	Prelude_I_in_C_major_BWV_846_-_Well_Tempered_Clavier_First_Book.mxl	lg-651587482134205398.xml					http://musescore.com/score/117279	MuseScore 1.3	2013-07-09		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Prelude_I_in_C_major_BWV_846_-_Well_Tempered_Clavier_First_Book.mxl
unknown-rights	Prelude_No._2_BWV_847_in_C_Minor.mxl	lg-49306290.xml					http://musescore.com/score/227966	MuseScore 2.0.2	2016-01-29		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Prelude_No._2_BWV_847_in_C_Minor.mxl
commercial-use-ok	Prlude_No._4_in_E_Minor_Op._28_-_Frdric_Chopin.mxl	score.xml	Prélude in E Minor		composer:Frédéric Chopin	Public Domain		MuseScore 3.6.2	2022-01-26		file-level rights metadata explicitly says Public Domain; repo README/About also says public domain MusicXML files	https://raw.githubusercontent.com/musetrainer/library/master/scores/Prlude_No._4_in_E_Minor_Op._28_-_Frdric_Chopin.mxl
unknown-rights	Prlude_Opus_28_No._4_in_E_Minor__Chopin.mxl	score.xml	Prélude in E Minor		composer:Fréderic François Chopin(1810–1849) | lyricist:Fryderyk Franciszek Chopin		https://musescore.com/user/19710/scores/65474	MuseScore 3.6.1	2021-05-20		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Prlude_Opus_28_No._4_in_E_Minor__Chopin.mxl
unknown-rights	Schubert_Serenade_-_Standchen_-_By_Lizst.mxl	lg-189466590.xml	Song		composer:Schubert		http://musescore.com/user/15453381/scores/3252906	MuseScore 2.0.3	2017-01-18		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Schubert_Serenade_-_Standchen_-_By_Lizst.mxl
unknown-rights	Sonata_No._16_1st_Movement_K._545.mxl	lg-822369149725648854.xml						MuseScore 1.2	2012-12-11		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Sonata_No._16_1st_Movement_K._545.mxl
unknown-rights	Sonate_No._14_Moonlight_1st_Movement.mxl	lg-168333468.xml					http://musescore.com/classicman/scores/55352	MuseScore 2.2.1	2018-04-22		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Sonate_No._14_Moonlight_1st_Movement.mxl
unknown-rights	Sonate_No._14_Moonlight_3rd_Movement.mxl	lg-8102429.xml					http://musescore.com/classicman/scores/33715	MuseScore 2.2.0	2018-03-30		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Sonate_No._14_Moonlight_3rd_Movement.mxl
unknown-rights	Sonate_No._8_Pathetique_2nd_Movement.mxl	lg-266005846382705692.xml					http://musescore.com/score/49148	MuseScore 1.3	2014-05-06		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Sonate_No._8_Pathetique_2nd_Movement.mxl
excluded-not-saved	Spring_Waltz_Mariage_dAmour_-_Chopin.mxl	score.xml	Spring Waltz		composer:Chopin		https://musescore.com/user/29754108/scores/5739597	MuseScore 3.2.3	2019-09-29		metadata/source indicates Spring Waltz/Mariage d'Amour risk despite title; modern copyrighted work risk	https://raw.githubusercontent.com/musetrainer/library/master/scores/Spring_Waltz_Mariage_dAmour_-_Chopin.mxl
unknown-rights	Swan_Lake.mxl	score.xml	Swan Lake		composer:Pyotr Ilyich Tchaikovsky			MuseScore 3.4.2	2020-02-10		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Swan_Lake.mxl
unknown-rights	The_Entertainer_-_Scott_Joplin.mxl	lg-341681992201058067.xml					http://musescore.com/score/162108	MuseScore 1.3	2014-03-02		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/The_Entertainer_-_Scott_Joplin.mxl
commercial-use-ok	The_Entertainer_-_Scott_Joplin_-_1902.mxl	score.xml	The Entertainer.		composer:Scott Joplin	Public Domain		MuseScore 3.6.0	2021-01-16		file-level rights metadata explicitly says Public Domain; repo README/About also says public domain MusicXML files	https://raw.githubusercontent.com/musetrainer/library/master/scores/The_Entertainer_-_Scott_Joplin_-_1902.mxl
unknown-rights	WA_Mozart_Marche_Turque_Turkish_March_fingered.mxl	score.xml						MuseScore 3.5.2	2020-11-12		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/WA_Mozart_Marche_Turque_Turkish_March_fingered.mxl
unknown-rights	Waltz_Opus_64_No._2_in_C_Minor.mxl	lg-688205918141534853.xml					http://musescore.com/score/55375	MuseScore 1.3	2013-06-23		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Waltz_Opus_64_No._2_in_C_Minor.mxl
unknown-rights	Waltz_in_A_MinorChopin.mxl	score.xml					http://musescore.com/score/1749181	MuseScore 2.3.2	2018-12-30		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Waltz_in_A_MinorChopin.mxl
unknown-rights	Waltz_of_the_Flowers.mxl	lg-47444152.xml	Waltz of the Flowers		composer:Tchaikovsky		http://musescore.com/user/124709/scores/1131706	MuseScore 2.1.0	2018-03-22		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Waltz_of_the_Flowers.mxl
unknown-rights	moonlight_sonata_3rd_movement.mxl	lg-90143206.xml	Moonlight sonata		composer:l.v.beethoven			MuseScore 2.0.1	2015-07-06		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/moonlight_sonata_3rd_movement.mxl
